,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,X1,mix_in_17,mix_in_4,urobilinogen_in_17,urobilinogen_in_4,bile_bovine_in_17,bile_bovine_in_4,pooled1_1,pooled1_2,pooled_spiked,pooled1_3,mix_in_17_2,mix_in_4_2,urobilinogen_in_17_2,urobilinogen_in_4_2,bile_bovine_in_17_2,bile_bovine_in_4_2,pooled2_1,uw24,uw3,uw_blank2,uw8,uw13,uw2,pooled2_2,uw_blank1,uw14,uw16,uw15,uw1,pooled3_1,uw_blank3,uw22,uw4,uw25,uw18,uw21,pooled3_2,uw5,uw12,uw19,uw23,uw11,uw6,pooled4_1,uw20,pooled_spiked_2,pooled3_3,pooled3_4,pooled4_3,oct15_4_rerun,uw10_rerun,uw_blank4_rerun,uw7_rerun,uw9_rerun,uw17_rerun,pooled4_4,isotopes,adduct,pcgroup,METLIN_isomers,METLIN_adduct,METLIN_error,METLIN_ID,METLIN_notes,METLIN_category,"METLIN_interest (-1 - can't figure out what chemicals are, 0 - don't bother, 1 - might be interesting, 2 - definitely interesting)",HMDB_hits,HMDB_biofluids,HMDB_notes,PREVSEARCH_ID,PREVSEARCH_category,TARGETED_ID,TARGETED_description,PLOT_category
feat2809,377.1108707,377.1108707,377.1108707,99.4073,99.4073,99.4073,1,1,27885.76225,17094361.73,30487.15604,12918141.81,57559.91103,15001159.57,250168.5494,404368.3233,1766502.734,2628332.979,177763.676,22647749.85,153135.249,17378.74127,189704.0235,22381895.4,2725675.258,1705850.797,670457.5344,0,8744661.975,2128779.329,5378083.234,2567453.467,0,1844910.539,3677605.598,257402.8352,6516508.535,2796612.515,0,430822.2467,27650074.02,1824611.343,103155.8467,100135.8356,2745611.287,4106201.453,1380340.863,28407.5192,1650446.589,1740672.137,2322972.305,3291292.816,75909.06268,2013218.344,649725.7537,466487.4673,1728803.662,929584.0933,1492818.564,0,744155.6103,1495476.136,100794.7024,1808152.512,,,1338,2,[M-H]-,1,His-Thr-OH,,amino acids,1,,,,,,,,amino acids
feat1464,251.0983231,251.0982884,251.098329,1071.7022,1070.8702,1072.2062,3,3,17566.26438,440518.7827,21625.46226,364155.9646,19680.72476,359751.737,275220.1471,310047.33,693207.2237,938206.6614,94500.84764,1296415.025,86608.27449,1202796.745,105722.9988,1276310.28,1088813.83,30908.71504,563899.8846,0,1348646.93,21734.85611,1260849.065,1079364.295,0,575121.838,270842.6823,334347.6691,1178122.184,955425.8134,0,266837.2882,1713297.569,31740.02874,93024.60152,911317.4336,972392.9347,270102.4469,173509.202,0,8082348.624,263354.876,798821.5647,970429.283,37853.66239,506328.1849,110526.867,130092.6209,545587.914,183339.7523,564521.0988,0,60347.02404,78658.23794,46322.7438,475653.3754,[27][M]-,[M+Cl]- 216.125 [M-H]- 252.101,70,1,[M+Cl]-,2," (R)-2-Amino-N-(2,2,4,4-tetramethyl-3-thietanyl)propanamide",amino acid aqueous degradation product,amino acids,1,,,,,,,,amino acids
feat6354,514.2846416,514.283962,514.2848604,1043.1801,1040.604,1046.5169,47,47,14216.67701,235798.7471,9466.049307,153274.0342,32527931.49,39026017.95,106850.5273,153511.0487,434959629.4,702772.6446,59862.2942,548181.7329,40987.76718,579786.9011,147956891.9,136459369.4,607817.2981,908570.3557,614426.6389,5721.10497,378668.968,793300.2145,554540.0474,627572.5307,0,979987.0973,144703.0158,130509.6831,603465.8245,610421.5515,0,166795.0499,655753.3057,612143.8095,42892.97635,253075.3694,574038.73,473524.0438,1142296.717,31784.80253,3284327.213,1027326.199,2096663.387,461597.2478,64456.59141,428658986.6,127589.4672,132061.4426,533630.49,429309.8873,225891.629,0,444144.3969,255816.0384,27802.97985,416848.6711,,,1,5,[M-H]-,0,taurocholic acid (confirmed by standard),bile acids,bile acids,2,,,,,,,,bile acids
feat5105,464.3019653,464.3014667,464.3021054,961.85065,959.2742,963.1641,26,26,3464.14517,135331.6983,3392.450225,129760.6344,11065119.09,14187805.8,154172.9009,177081.3856,347971.6845,722516.7068,25533.25463,571623.5268,30657.48577,520905.719,57716378.29,51869343.87,740970.964,548624.1657,711928.2801,0,339988.2761,832730.2943,832380.7796,642090.9763,0,723574.4964,145124.9455,97297.37491,470129.786,701664.702,0,163333.6238,634189.6379,472256.3238,87032.11415,106886.3027,672222.656,551789.6772,599572.3233,40467.63254,7750331.057,1534672.457,2983160.638,505558.6189,58177.70993,283175.6595,120580.8832,115871.1854,537526.504,720227.6469,168864.1116,0,404247.8797,128228.0921,21616.1151,424991.0882,[389][M]-,[M-H]- 465.306,16,3,[M-H]-,0,glycocholic acid (confirmed by standard),bile acids,bile acids,2,,,,glycocholic acid,bile acids,,,bile acids
feat3108,391.2856004,391.2854664,391.2859121,1232.858,1146.2274,1236.1081,39,35,0,61181.01118,0,60754.07979,2766.799484,63067.15958,232886.2047,228848.117,282056.5438,919611.8397,7114.754952,274933.8738,15546.9078,300452.8685,8940.330827,256830.2486,673688.5163,1366411.556,1406538.862,0,1423839.371,737347.3334,980098.2868,528791.297,0,805638.9537,224351.1417,211245.4405,1481192.594,762177.2091,0,596214.3912,1379067.25,1696760.092,80363.33481,348450.8417,608368.7066,298329.6253,748668.9904,119898.4012,1120848.743,1452652.711,984850.6024,507303.7066,88103.11523,71414.23175,72473.56932,71775.63315,610477.3985,2936088.12,793431.0458,0,474782.3424,361039.9722,84780.39199,310551.1178,[204][M]-,[M-H]- 392.29,34,96,[M-H]-,0,chenodeoxycholic acid (confirmed by standard),bile acids,bile acids,2,,,,bile acids,bile acids,,,bile acids
feat3476,407.2805031,407.2803744,407.2806329,1057.67595,1054.8586,1060.1412,40,40,43765.1011,194450.1231,2886.815411,111127.3229,138408.2912,339513.2043,167346.1579,222084.5168,679821.4339,844560.4006,137002.0322,565004.5754,39615.02737,451889.6599,554495.4088,791164.2011,453763.7359,661180.2545,769737.4022,0,398615.7692,419435.7461,1448974.66,494686.7422,0,584508.2799,307811.7941,72102.25878,783646.8009,566177.0236,0,552605.113,584481.5362,870184.209,60778.78832,429301.2231,472619.4272,151427.4099,640516.8066,91083.88604,832718.6926,366893.2278,527956.5712,367937.8111,88552.29032,364467.6388,127240.5714,117890.5369,608612.6524,1199215.762,602683.4714,0,487608.9006,396900.3407,69665.27084,386860.8763,[234][M]-,[M-H]- 408.285,2,155,[M-H]-,0,cholic acid (confirmed by standard),bile acids,bile acids,2,,,,bile acids,bile acids,,,bile acids
feat4370,443.2572021,443.25696,443.2574013,1057.54755,1054.8586,1059.8391,40,40,27145.38803,274958.4574,8953.371438,173086.9639,179725.2376,571105.3902,147905.8698,184017.8211,597904.2171,1217966.838,186131.0039,1882443.77,107321.0399,2011240.335,1537445.253,6092310.933,1937727.988,3077071.362,3941953.315,0,1054910.722,1135206.035,11149169.72,1362868.918,0,1815553.529,887522.2501,215712.2416,3402500.601,1660578.603,0,1463039.773,2890070.09,4833475.939,197165.397,1301149.036,1797552.743,416979.154,2602987.665,323573.3572,4048409.286,1109781.722,2199465.145,1410820.15,294902.7828,612732.3264,100933.9534,103384.4324,600580.2081,2489330.765,1233023.702,0,1116016.992,578930.2529,118900.4869,700208.0347,[336][M]-,[M+Cl]- 408.285,2,155,[M+Cl]-,0,"hydrogen adduct could be a lipid; Cl adducts are: cholanoic acid, Constanolactone E methyl acetonide, cholic acid, murochilic acid, butaprost, vulpecholic acid, lots of other -cholic acids","bile acids, lactones are esters, butaprost is some sort of inhibitor",bile acids,2,,,,,,,,bile acids
feat6770,528.2639288,528.2637423,528.2640887,1133.742,1128.3237,1137.0578,37,37,7646.914315,98501.26168,11943.56099,82432.97531,14712.39737,82482.64656,109456.0701,122326.7705,320136.3488,473027.2394,124618.8127,437433.0373,145546.0874,434331.1368,147998.3686,428553.963,536015.4133,812589.4749,699900.1429,0,696824.5724,675059.2352,615837.331,546486.275,0,713395.6476,427457.95,313643.062,772812.5149,547717.7978,0,761692.5558,645833.0964,537282.2159,185537.574,247264.0842,525276.9319,147801.0782,760415.9684,368825.1718,1798357.031,754844.9263,1320146.253,437043.2116,279265.9577,286353.3357,82431.32333,76221.99608,503544.639,794858.4075,379912.2611,0,439795.0047,195553.0673,146460.5424,396267.6586,[592][M]-,[M-H]- 529.271,5534,6,[M-H]-,0,glycochenodeoxycholic acid sulfate; hydroxy-sulfooxy-cholanyl glycines,bile acid glycine conjugates,bile acids,2,,,,,,,,bile acids
feat4758,448.307003,448.3067726,448.3070994,1098.90405,1089.528,1109.079,12,11,0,41432.4337,0,37749.26916,1183495.592,1880076.582,112321.9872,132146.2434,252130.3358,748041.7811,0,124381.1111,10252.02049,295922.0617,6837480.922,15927211.63,338808.1196,795350.3915,804396.8917,0,514953.7847,782467.1576,761087.7566,575870.5061,0,469462.9335,114414.2546,71123.79634,531125.0493,656262.5012,0,140941.1517,505784.6387,420681.1465,37907.91982,89463.57206,594848.6345,278545.4613,635183.1385,28347.00233,2806611.099,1222007.831,1712138.595,506670.3856,47916.41605,156315.3273,66690.53551,64537.82049,422757.9741,838197.2048,174985.9782,0,420607.8815,84032.5197,20191.31199,322116.5704,[347][M]-,,46,6,[M-H]-,0,"chenodeoxycholic acid glycine conjugate, deoxycholic acid glycine conjugate, glycodeoxycholate, and a few other bile acids",bile acids,bile acids,2,,,,,,,,bile acids
feat6353,514.2839277,514.2839277,514.2839277,1044.8897,1044.8897,1044.8897,1,1,14034.24913,240254.0033,9436.016474,160125.8912,32245605.9,40936575.12,107722.2083,159925.8678,469153863.4,729866.7748,72554.17213,562180.4903,47167.17867,592526.8106,175620490.4,141154346.3,609279.4439,921075.0539,609687.3465,5630.969895,409920.7554,786862.4312,568394.6804,646716.3823,0,1031878.228,154147.8869,148948.5474,628236.1629,641842.7862,0,176381.0253,664351.5987,616188.6699,43230.88489,248455.0402,582663.4268,460181.404,1160789.623,33602.21225,3333103.186,1060187.241,2106230.532,456062.9725,71232.39991,426722477.7,128771.9404,133511.2675,553489.3853,487418.6097,237520.5597,0,457649.4134,263398.126,27676.76319,416404.9614,,[M+Cl]- 479.322 [M-H]- 515.299,2,5,[M-H]-,0,taurocholic acid; taurohyocholic acid; 2 other tauro-something-cholic acid,bile acids,bile acids,2,,,,,,,,bile acids
fakefeat,168.0778506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fakefeat2,168.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fakefeat3,101.0244181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fakefeat4,204.0545286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fakefeat5,306.086223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fakefeat6,101.0244181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fakefeat7,204.0545286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fakefeat8,306.086223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
